seqname	start	end	exon_id	strand	event_type	junction_id_l	junction_id_r	coord_prev	coord_next	novel_length	expr_exon	expr_junction	phastcons	meta	sample_count	GB_link
chr1	44645407	44645488	chr1_44645407_44645488_+	+	3'AS	chr1_44645276_44645407_+	chr1_44645488_44649661_+	44645276	44649661	3	11.88	5.5	539.0	Breast,Colon,Heart,Nerve,Thyroid	6	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A44645266%2D44649671
chr12	124336639	124337180	chr12_124336639_124337180_-	-	5'AS	chr12_124335632_124336639_-	chr12_124337180_124340006_-	124335632	124340006	114	23.74	18.97	684.22	Adipose Tissue,Adrenal Gland,Blood,Blood Vessel,Brain,Breast,Colon,Esophagus,Fallopian Tube,Heart,Kidney,Liver,Lung,Muscle,Nerve,Ovary,Pancreas,Pituitary,Prostate,Skin,Stomach,Testis,Thyroid,Uterus,Vagina	4713	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A124335622%2D124340016
chr5	150534867	150535025	chr5_150534867_150535025_+	+	5'AS	chr5_150533032_150534867_+	chr5_150535025_150535700_+	150533032	150535700	4	10.55	8.95	672.0	Adipose Tissue,Adrenal Gland,Blood,Blood Vessel,Brain,Breast,Colon,Esophagus,Heart,Liver,Lung,Muscle,Nerve,Ovary,Pancreas,Pituitary,Prostate,Skin,Stomach,Testis,Thyroid,Uterus,Vagina	1068	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A150533022%2D150535710
chr6	99375940	99376200	chr6_99375940_99376200_-	-	3'AS	chr6_99371587_99375940_-	chr6_99376200_99377386_-	99371587	99377386	18	7.52	4.0	257.31	Heart	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A99371577%2D99377396
chr12	9196569	9196685	chr12_9196569_9196685_-	-	5'AS	chr12_9196439_9196569_-	chr12_9196685_9197012_-	9196439	9197012	2	7.99	7.83	229.15	Liver	6	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A9196429%2D9197022
chr19	9977812	9977941	chr19_9977812_9977941_-	-	CE	chr19_9977701_9977812_-	chr19_9977941_9978574_-	9977701	9978574	129	25.86	9.68	0.0	Adipose Tissue,Blood Vessel,Brain,Esophagus,Nerve,Uterus,Vagina	22	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A9977691%2D9978584
chr4	55866872	55866892	chr4_55866872_55866892_+	+	CE	chr4_55864386_55866872_+	chr4_55866892_55868336_+	55864386	55868336	20	20.02	14.3	739.0	Brain,Skin,Vagina	473	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A55864376%2D55868346
chr22	50201886	50205024	chr22_50201886_50205024_+	+	CE	chr22_50201590_50201886_+	chr22_50205024_50206317_+	50201590	50206317	3138	16.8	8.36	0.85	Adipose Tissue,Blood,Blood Vessel,Brain,Breast,Colon,Lung,Nerve,Ovary,Pancreas,Prostate,Skin,Stomach,Thyroid,Uterus	53	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr22%3A50201580%2D50206327
chr17	44104915	44105095	chr17_44104915_44105095_-	-	CE	chr17_44093834_44104915_-	chr17_44105095_44110729_-	44093834	44110729	180	16.36	9.47	21.16	Brain,Muscle	87	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A44093824%2D44110739
chr6	150751290	150751517	chr6_150751290_150751517_+	+	CE	chr6_150734092_150751290_+	chr6_150751517_150768638_+	150734092	150768638	227	12.98	7.5	110.02	Adipose Tissue,Lung,Thyroid	4	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A150734082%2D150768648
chr6	31678422	31678604	chr6_31678422_31678604_-	-	CE	chr6_31677120_31678422_-	chr6_31678604_31679101_-	31677120	31679101	182	17.71	8.61	0.0	Brain,Testis	79	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A31677110%2D31679111
chr9	35845708	35845885	chr9_35845708_35845885_+	+	CE	chr9_35842717_35845708_+	chr9_35845885_35845975_+	35842717	35845975	177	24.06	8.34	24.37	Adipose Tissue,Adrenal Gland,Blood Vessel,Breast,Colon,Esophagus,Kidney,Lung,Nerve,Ovary,Prostate,Stomach,Testis,Thyroid,Uterus	79	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A35842707%2D35845985
chr1	94892624	94892766	chr1_94892624_94892766_+	+	CE	chr1_94892517_94892624_+	chr1_94892766_94894818_+	94892517	94894818	142	22.3	9.51	0.0	Adrenal Gland,Brain,Breast,Colon,Esophagus,Kidney,Lung,Pancreas,Pituitary,Stomach,Vagina	39	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A94892507%2D94894828
chr14	101921984	101922134	chr14_101921984_101922134_+	+	CE	chr14_101917947_101921984_+	chr14_101922134_101925141_+	101917947	101925141	150	13.02	6.56	169.94	Testis	9	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A101917937%2D101925151
chr2	218388649	218389771	chr2_218388649_218389771_+	+	CE	chr2_218387955_218388649_+	chr2_218389771_218389870_+	218387955	218389870	1122	236.79	16.67	8.7	Blood	21	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A218387945%2D218389880
chr10	94849089	94849277	chr10_94849089_94849277_+	+	CE	chr10_94843024_94849089_+	chr10_94849277_94849917_+	94843024	94849917	188	40.26	22.89	5.17	Esophagus,Liver,Stomach	19	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A94843014%2D94849927
chr15	50592783	50593280	chr15_50592783_50593280_-	-	CE	chr15_50592626_50592783_-	chr15_50593280_50593617_-	50592626	50593617	497	8.77	5.0	2.36	Brain	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A50592616%2D50593627
chr3	42559284	42559384	chr3_42559284_42559384_-	-	CE	chr3_42557696_42559284_-	chr3_42559384_42561117_-	42557696	42561117	100	13.59	8.67	269.51	Brain,Muscle	9	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A42557686%2D42561127
chr10	45787516	45787622	chr10_45787516_45787622_+	+	CE	chr10_45787247_45787516_+	chr10_45787622_45788871_+	45787247	45788871	106	12.71	9.67	0.0	Brain	9	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A45787237%2D45788881
chr6	35954621	35954777	chr6_35954621_35954777_-	-	CE	chr6_35951499_35954621_-	chr6_35954777_35955152_-	35951499	35955152	156	21.66	11.17	0.0	Blood	6	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A35951489%2D35955162
chr1	230678534	230678777	chr1_230678534_230678777_+	+	CE	chr1_230675124_230678534_+	chr1_230678777_230678913_+	230675124	230678913	243	18.13	6.5	0.98	Brain	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A230675114%2D230678923
chr2	111980873	111980924	chr2_111980873_111980924_+	+	CE	chr2_111975472_111980873_+	chr2_111980924_111982842_+	111975472	111982842	51	16.63	9.55	4.47	Adipose Tissue,Adrenal Gland,Blood,Blood Vessel,Brain,Esophagus,Pituitary,Prostate,Testis	44	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A111975462%2D111982852
chr9	79719545	79719734	chr9_79719545_79719734_+	+	CE	chr9_79718971_79719545_+	chr9_79719734_79720046_+	79718971	79720046	189	22.83	8.31	2.94	Blood,Muscle	13	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A79718961%2D79720056
chr19	16377637	16378806	chr19_16377637_16378806_-	-	CE	chr19_16377254_16377637_-	chr19_16378806_16385129_-	16377254	16385129	1169	21.82	7.25	0.0	Brain	4	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A16377244%2D16385139
chr15	43575707	43575837	chr15_43575707_43575837_-	-	CE	chr15_43574363_43575707_-	chr15_43575837_43576371_-	43574363	43576371	130	23.65	9.0	4.5	Brain	4	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A43574353%2D43576381
chr20	2332002	2332350	chr20_2332002_2332350_+	+	5'AS	chr20_2330458_2332002_+	chr20_2332350_2335116_+	2330458	2335116	40	23.28	7.43	80.47	Blood	7	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A2330448%2D2335126
chr20	38750007	38750239	chr20_38750007_38750239_+	+	3'AS	chr20_38748853_38750007_+	chr20_38750239_38752131_+	38748853	38752131	3	12.04	6.77	547.0	Adipose Tissue,Blood Vessel,Breast,Colon,Esophagus,Lung,Nerve,Ovary,Pituitary,Skin,Testis,Thyroid	52	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A38748843%2D38752141
chr12	62392272	62392466	chr12_62392272_62392466_+	+	5'AS	chr12_62391886_62392272_+	chr12_62392466_62393053_+	62391886	62393053	79	21.68	12.0	140.46	Blood,Lung	3	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A62391876%2D62393063
chr6	17773472	17773583	chr6_17773472_17773583_-	-	5'AS	chr6_17772059_17773472_-	chr6_17773583_17775015_-	17772059	17775015	6	14.34	6.88	282.71	Adipose Tissue,Blood,Blood Vessel,Colon,Esophagus,Heart,Muscle	8	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A17772049%2D17775025
chr10	29522397	29522635	chr10_29522397_29522635_-	-	5'AS	chr10_29512861_29522397_-	chr10_29522635_29523451_-	29512861	29523451	13	7.31	5.0	224.17	Blood Vessel	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A29512851%2D29523461
chr10	102423798	102423881	chr10_102423798_102423881_-	-	3'AS	chr10_102423717_102423798_-	chr10_102423881_102423996_-	102423717	102423996	22	35.33	8.44	234.24	Adipose Tissue,Brain,Nerve,Skin	9	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A102423707%2D102424006
chr16	1667959	1668193	chr16_1667959_1668193_+	+	3'AS	chr16_1667400_1667959_+	chr16_1668193_1669001_+	1667400	1669001	3	12.64	6.64	171.93	Brain,Esophagus,Prostate,Testis,Thyroid	14	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A1667390%2D1669011
