exon_id	seqname	start	end	strand	event_type	sample_name	is_annotated	coord_prev	coord_next	junction_id_l	junction_id_r	is_annotated_right	cov	ipsa_min	exon_id_right	cov_right	start_right	end_right	novel_start	novel_end	novel_length	cons_avg	ann_frac	cons_avg_ann_cdf	ipsa_min_ann_cdf	cov_ann_cdf	ann_cdf_min	refseq_annotated	is_left_novel	is_right_novel	meta
chr7_87843977_87844053_-	chr7	87843977	87844053	-	CE	CHX_M4_10	false	87843863	87846949	chr7_87843863_87843977_-	chr7_87844053_87846949_-	true	8.337663	7					87843977	87844053	76	20.505890643677997	0.0	0.2847	0.2235	0.1602	0.1602	false	true	true	CHX
chr17_78489713_78489802_+	chr17	78489713	78489802	+	CE	CHX_M4_10	false	78489574	78490002	chr17_78489574_78489713_+	chr17_78489802_78490002_+	true	14.41111	10					78489713	78489802	89	0.0	0.0	0.2313	0.304	0.2803	0.2313	false	true	true	CHX
chr13_69702145_69702207_-	chr13	69702145	69702207	-	CE	CHX_M4_10	false	69701761	69707625	chr13_69701761_69702145_-	chr13_69702207_69707625_-	true	31.412699	25					69702145	69702207	62	132.068350813488	0.0	0.3547	0.5114	0.4707	0.3547	false	true	true	CHX
chr1_154241700_154241797_+	chr1	154241700	154241797	+	CE	CHX_M4_10	false	154241565	154243217	chr1_154241565_154241700_+	chr1_154241797_154243217_+	true	61.69388	53					154241700	154241797	97	0.0	0.0	0.2313	0.6879	0.6522	0.2313	false	true	true	CHX
chr17_8122837_8122885_-	chr17	8122837	8122885	-	CE	CHX_M4_10	false	8122430	8123031	chr17_8122430_8122837_-	chr17_8122885_8123031_-	true	21.734694	16					8122837	8122885	48	317.372937693032	0.0	0.4504	0.4087	0.3772	0.3772	false	true	true	CHX
chr4_88753619_88753676_-	chr4	88753619	88753676	-	CE	CHX_M4_10	false	88750637	88758754	chr4_88750637_88753619_-	chr4_88753676_88758754_-	true	3.603449	3					88753619	88753676	57	3.882384	0.0	0.2382	0.0543	0.0361	0.0361	false	true	true	CHX
chr10_63150134_63150356_+	chr10	63150134	63150356	+	CE	CHX_M4_10	false	63146293	63152150	chr10_63146293_63150134_+	chr10_63150356_63152150_+	true	7.802837	5					63150134	63150356	222	11.442175769194	0.0	0.2649	0.1507	0.145	0.145	false	true	true	CHX
chr17_58628009_58628128_-	chr17	58628009	58628128	-	CE	CHX_M4_10	false	58623012	58630440	chr17_58623012_58628009_-	chr17_58628128_58630440_-	true	15.908335	11					58628009	58628128	119	27.977016302564	0.0	0.2951	0.3252	0.3036	0.2951	false	true	true	CHX
chr20_37005487_37005572_-	chr20	37005487	37005572	-	CE	CHX_M4_10	false	37003866	37007411	chr20_37003866_37005487_-	chr20_37005572_37007411_-	true	16.0	11					37005487	37005572	85	13.385330999999999	0.0	0.2716	0.3252	0.3049	0.2716	false	true	true	CHX
chr17_28659495_28659891_-	chr17	28659495	28659891	-	CE	CHX_M4_10	false	28655483	28661726	chr17_28655483_28659495_-	chr17_28659891_28661726_-	true	24.82467	14					28659495	28659891	396	0.0	0.0	0.2313	0.38	0.4087	0.2313	false	true	true	CHX
chr4_41604227_41604273_+	chr4	41604227	41604273	+	CE	CHX_M4_10	false	41603905	41605894	chr4_41603905_41604227_+	chr4_41604273_41605894_+	true	14.234042	15					41604227	41604273	46	63.01739499681	0.0	0.3259	0.3959	0.278	0.278	false	true	true	CHX
chr9_33291421_33291578_+	chr9	33291421	33291578	+	CE	CHX_M4_10	false	33290597	33294420	chr9_33290597_33291421_+	chr9_33291578_33294420_+	true	36.487343	15					33291421	33291578	157	15.934396309523999	0.0	0.2773	0.3959	0.5093	0.2773	false	true	true	CHX
chr4_128092777_128093031_+	chr4	128092777	128093031	+	CE	CHX_M4_10	false	128091512	128098186	chr4_128091512_128092777_+	chr4_128093031_128098186_+	true	5.541176	4					128092777	128093031	254	332.68317981546	0.0	0.4631	0.1049	0.0849	0.0849	false	true	true	CHX
chr8_102302271_102302481_-	chr8	102302271	102302481	-	CE	CHX_M4_10	false	102300151	102304043	chr8_102300151_102302271_-	chr8_102302481_102304043_-	true	15.123222	4					102302271	102302481	210	792.325702089675	0.0	0.9491	0.1049	0.2918	0.1049	false	true	true	CHX
chr15_41569804_41569866_+	chr15	41569804	41569866	+	CE	CHX_M4_10	false	41569022	41570027	chr15_41569022_41569804_+	chr15_41569866_41570027_+	true	7.253968	4					41569804	41569866	62	23.548008	0.0	0.2884	0.1049	0.1303	0.1049	false	true	true	CHX
chr10_124969779_124969871_+	chr10	124969779	124969871	+	CE	CHX_M4_10	false	124966781	124971965	chr10_124966781_124969779_+	chr10_124969871_124971965_+	true	4.419355	5					124969779	124969871	92	0.0	0.0	0.2313	0.1507	0.0543	0.0543	false	true	true	CHX
chr2_101049339_101049424_-	chr2	101049339	101049424	-	CE	CHX_M4_10	false	101040385	101050401	chr2_101040385_101049339_-	chr2_101049424_101050401_-	true	3.965116	3					101049339	101049424	85	9.65625	0.0	0.2571	0.0543	0.046	0.046	false	true	true	CHX
chr5_134921942_134922115_+	chr5	134921942	134922115	+	CE	CHX_M4_10	false	134910466	134959040	chr5_134910466_134921942_+	chr5_134922115_134959040_+	true	5.229885	3					134921942	134922115	173	7.304304	0.0	0.2499	0.0543	0.0771	0.0543	false	true	true	CHX
chr20_33381984_33382179_-	chr20	33381984	33382179	-	CE	CHX_M4_10	false	33379691	33385650	chr20_33379691_33381984_-	chr20_33382179_33385650_-	true	4.801021	4					33381984	33382179	195	19.184528	0.0	0.2824	0.1049	0.0656	0.0656	false	true	true	CHX
chr4_2638817_2639089_+	chr4	2638817	2639089	+	CE	CHX_M4_10	false	2631169	2639735	chr4_2631169_2638817_+	chr4_2639089_2639735_+	true	7.699634	5					2638817	2639089	272	0.0	0.0	0.2313	0.1507	0.1434	0.1434	false	true	true	CHX
chr10_68902051_68902426_+	chr10	68902051	68902426	+	CE	CHX_M4_10	false	68901471	68906711	chr10_68901471_68902051_+	chr10_68902426_68906711_+	true	4.413662	5					68902051	68902426	375	37.512853359240005	0.0	0.3072	0.1507	0.0541	0.0541	false	true	true	CHX
chr17_59043674_59043868_-	chr17	59043674	59043868	-	CE	CHX_M4_10	false	59041898	59047683	chr17_59041898_59043674_-	chr17_59043868_59047683_-	true	10.774359	5					59043674	59043868	194	17.351319639775	0.0	0.2799	0.1507	0.2152	0.1507	false	true	true	CHX
chr2_53913871_53913931_-	chr2	53913871	53913931	-	CE	CHX_M4_10	false	53910130	53919151	chr2_53910130_53913871_-	chr2_53913931_53919151_-	true	8.606558	6					53913871	53913931	60	804.0	0.0	0.9595	0.1926	0.1682	0.1682	false	true	true	CHX
chr10_124962287_124962408_+	chr10	124962287	124962408	+	CE	CHX_M4_10	false	124943307	124966594	chr10_124943307_124962287_+	chr10_124962408_124966594_+	true	10.385246	11					124962287	124962408	121	0.0	0.0	0.2313	0.3252	0.2078	0.2078	false	true	true	CHX
chr11_33028366_33028480_+	chr11	33028366	33028480	+	CE	CHX_M4_10	false	33027813	33028603	chr11_33027813_33028366_+	chr11_33028480_33028603_+	true	305.56088	85					33028366	33028480	114	530.039999808	0.0	0.7243	0.7871	0.9266	0.7243	false	true	true	CHX
chr15_48770179_48770281_-	chr15	48770179	48770281	-	CE	CHX_M4_10	false	48769081	48772487	chr15_48769081_48770179_-	chr15_48770281_48772487_-	true	4.07767	3					48770179	48770281	102	7.354073	0.0	0.2504	0.0543	0.0488	0.0488	false	true	true	CHX
chr10_122858606_122858685_-	chr10	122858606	122858685	-	CE	CHX_M4_10	false	122855786	122879485	chr10_122855786_122858606_-	chr10_122858685_122879485_-	true	13.524951	10					122858606	122858685	79	0.0	0.0	0.2313	0.304	0.2674	0.2313	false	true	true	CHX
chr17_61953369_61953463_-	chr17	61953369	61953463	-	CE	CHX_M4_10	false	61953113	61955382	chr17_61953113_61953369_-	chr17_61953463_61955382_-	true	9.494737	9					61953369	61953463	94	113.22870213406601	0.0	0.3475	0.2801	0.1885	0.1885	false	true	true	CHX
chr17_51067932_51068012_-	chr17	51067932	51068012	-	CE	CHX_M4_10	false	51056482	51079584	chr17_51056482_51067932_-	chr17_51068012_51079584_-	true	37.135803	33					51067932	51068012	80	745.3846239963369	0.0	0.9162	0.5763	0.5142	0.5142	false	true	true	CHX
chr11_117359432_117359560_+	chr11	117359432	117359560	+	CE	CHX_M4_10	false	117351988	117361835	chr11_117351988_117359432_+	chr11_117359560_117361835_+	true	7.27907	5					117359432	117359560	128	4.158132	0.0	0.2389	0.1507	0.1305	0.1305	false	true	true	CHX
chr11_108210280_108211211_-	chr11	108210280	108211211	-	CE	CHX_M4_10	false	108197420	108222500	chr11_108197420_108210280_-	chr11_108211211_108222500_-	true	7.989271	8					108210280	108211211	931	0.0	0.0	0.2313	0.2516	0.1505	0.1505	false	true	true	CHX
chr4_73163302_73163432_-	chr4	73163302	73163432	-	CE	CHX_M4_10	false	73161348	73177380	chr4_73161348_73163302_-	chr4_73163432_73177380_-	true	6.030534	4					73163302	73163432	130	20.1702168	0.0	0.2842	0.1049	0.101	0.101	false	true	true	CHX
chr1_100436133_100436242_+	chr1	100436133	100436242	+	CE	CHX_M4_10	false	100424301	100439932	chr1_100424301_100436133_+	chr1_100436242_100439932_+	true	3.727041	5					100436133	100436242	109	4.150083	0.0	0.2389	0.1507	0.041	0.041	false	true	true	CHX
