seqname	start	end	exon_id	strand	event_type	junction_id_l	junction_id_r	coord_prev	coord_next	novel_length	expr_exon	expr_junction	phastcons	meta	sample_count	GB_link
chr4	48598829	48598873	chr4_48598829_48598873_-	-	CE	chr4_48596000_48598829_-	chr4_48598873_48602020_-	48596000	48602020	44	9.26	8.27	609.0	CHX,SS	11	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A48595990%2D48602030
chr4	44714596	44714659	chr4_44714596_44714659_-	-	CE	chr4_44711137_44714596_-	chr4_44714659_44717113_-	44711137	44717113	63	5.23	4.0	568.0	CHX	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A44711127%2D44717123
chr18	21508384	21508591	chr18_21508384_21508591_+	+	3'AS	chr18_21508279_21508384_+	chr18_21508591_21513821_+	21508279	21513821	3	2.84	4.0	612.0	SS	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr18%3A21508269%2D21513831
chr20	35466034	35466204	chr20_35466034_35466204_+	+	3'AS	chr20_35465825_35466034_+	chr20_35466204_35466966_+	35465825	35466966	5	3.13	6.0	429.0	SS	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A35465815%2D35466976
chr11	59656499	59656624	chr11_59656499_59656624_-	-	3'AS	chr11_59655740_59656499_-	chr11_59656624_59657530_-	59655740	59657530	24	19.86	13.0	612.0	CHX	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A59655730%2D59657540
chr20	34748699	34748803	chr20_34748699_34748803_-	-	CE	chr20_34746928_34748699_-	chr20_34748803_34749403_-	34746928	34749403	104	5.2	3.5	259.1	CHX	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A34746918%2D34749413
chrX	55752241	55752401	chrX_55752241_55752401_+	+	CE	chrX_55751196_55752241_+	chrX_55752401_55753392_+	55751196	55753392	160	5.17	5.0	713.0	CHX,SS	6	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chrX%3A55751186%2D55753402
chr1	20749723	20749975	chr1_20749723_20749975_-	-	3'AS	chr1_20747655_20749723_-	chr1_20749975_20757166_-	20747655	20757166	93	7.72	5.5	675.0	CHX,SS	6	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A20747645%2D20757176
chr9	137817439	137817529	chr9_137817439_137817529_+	+	5'AS	chr9_137816062_137817439_+	chr9_137817529_137818060_+	137816062	137818060	4	4.75	3.0	483.0	CHX	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A137816052%2D137818070
chr1	92290198	92290330	chr1_92290198_92290330_-	-	3'AS	chr1_92289151_92290198_-	chr1_92290330_92291418_-	92289151	92291418	24	7.76	6.86	609.0	CHX,SS	7	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A92289141%2D92291428
chr8	95046969	95047127	chr8_95046969_95047127_+	+	3'AS	chr8_95045647_95046969_+	chr8_95047127_95048457_+	95045647	95048457	25	2.91	3.0	509.0	SS	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A95045637%2D95048467
chr5	181234174	181234355	chr5_181234174_181234355_+	+	5'AS	chr5_181233763_181234174_+	chr5_181234355_181234932_+	181233763	181234932	6	15.85	5.0	666.0	CHX,SS	3	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A181233753%2D181234942
chr20	38048348	38048618	chr20_38048348_38048618_+	+	5'AS	chr20_38040564_38048348_+	chr20_38048618_38057532_+	38040564	38057532	137	6.99	8.4	690.0	CHX	5	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A38040554%2D38057542
chr12	47687876	47688021	chr12_47687876_47688021_-	-	3'AS	chr12_47686907_47687876_-	chr12_47688021_47689125_-	47686907	47689125	20	4.14	5.0	445.0	CHX	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A47686897%2D47689135
chrX	53629516	53629637	chrX_53629516_53629637_-	-	3'AS	chrX_53628902_53629516_-	chrX_53629637_53630935_-	53628902	53630935	21	8.39	5.0	584.0	CHX	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chrX%3A53628892%2D53630945
chr1	70293504	70293620	chr1_70293504_70293620_-	-	CE	chr1_70292549_70293504_-	chr1_70293620_70296130_-	70292549	70296130	116	13.86	11.17	582.0	CHX	6	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A70292539%2D70296140
chr11	65976379	65976568	chr11_65976379_65976568_+	+	3'AS	chr11_65967821_65976379_+	chr11_65976568_65976656_+	65967821	65976656	16	11.18	11.5	552.0	CHX	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A65967811%2D65976666
chr3	27483519	27483627	chr3_27483519_27483627_-	-	CE	chr3_27452498_27483519_-	chr3_27483627_27484079_-	27452498	27484079	108	8.01	3.0	225.48	CHX	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A27452488%2D27484089
chr16	69640144	69640256	chr16_69640144_69640256_+	+	CE	chr16_69626528_69640144_+	chr16_69640256_69646517_+	69626528	69646517	112	10.62	3.0	670.0	CHX	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A69626518%2D69646527
chr20	38750007	38750239	chr20_38750007_38750239_+	+	3'AS	chr20_38748853_38750007_+	chr20_38750239_38752131_+	38748853	38752131	3	4.03	4.0	567.0	CHX	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A38748843%2D38752141
chr12	94333464	94333639	chr12_94333464_94333639_-	-	5'AS	chr12_94331829_94333464_-	chr12_94333639_94335589_-	94331829	94335589	18	2.93	3.5	547.0	CHX	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A94331819%2D94335599
chr15	71892965	71893180	chr15_71892965_71893180_-	-	3'AS	chr15_71888116_71892965_-	chr15_71893180_71893679_-	71888116	71893679	3	2.44	4.0	699.0	CHX	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A71888106%2D71893689
chr1	212345790	212345933	chr1_212345790_212345933_+	+	3'AS	chr1_212342280_212345790_+	chr1_212345933_212347347_+	212342280	212347347	13	6.29	6.0	595.0	CHX	3	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A212342270%2D212347357
chr9	85646321	85646435	chr9_85646321_85646435_-	-	3'AS	chr9_85642943_85646321_-	chr9_85646435_85655143_-	85642943	85655143	17	7.97	4.0	549.0	CHX	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A85642933%2D85655153
chr10	58237720	58237814	chr10_58237720_58237814_-	-	5'AS	chr10_58227139_58237720_-	chr10_58237814_58267422_-	58227139	58267422	9	5.71	5.0	515.0	SS	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A58227129%2D58267432
chr10	73817015	73817117	chr10_73817015_73817117_-	-	5'AS	chr10_73815247_73817015_-	chr10_73817117_73817479_-	73815247	73817479	8	6.26	8.5	587.0	CHX,SS	8	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A73815237%2D73817489
chr6	41588873	41588895	chr6_41588873_41588895_+	+	CE	chr6_41588731_41588873_+	chr6_41588895_41589771_+	41588731	41589771	22	7.26	5.0	435.0	CHX	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A41588721%2D41589781
chr3	126460376	126460438	chr3_126460376_126460438_-	-	CE	chr3_126459737_126460376_-	chr3_126460438_126461535_-	126459737	126461535	62	18.48	6.0	437.0	CHX	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A126459727%2D126461545
chr11	66219746	66219833	chr11_66219746_66219833_+	+	5'AS	chr11_66216775_66219746_+	chr11_66219833_66220631_+	66216775	66220631	28	4.51	6.0	500.0	CHX	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A66216765%2D66220641
chr9	85978225	85978381	chr9_85978225_85978381_+	+	3'AS	chr9_85977446_85978225_+	chr9_85978381_85996399_+	85977446	85996399	42	5.79	7.0	644.0	CHX	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A85977436%2D85996409
chr16	58542231	58542354	chr16_58542231_58542354_-	-	3'AS	chr16_58541620_58542231_-	chr16_58542354_58542428_-	58541620	58542428	19	17.48	7.0	559.0	CHX	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A58541610%2D58542438
chr15	73569714	73569806	chr15_73569714_73569806_-	-	CE	chr15_73563257_73569714_-	chr15_73569806_73570150_-	73563257	73570150	92	14.87	9.0	586.0	CHX	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A73563247%2D73570160
chr11	59657080	59657153	chr11_59657080_59657153_-	-	CE	chr11_59656600_59657080_-	chr11_59657153_59657530_-	59656600	59657530	73	81.62	72.22	760.0	CHX	9	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A59656590%2D59657540
