exon_id	seqname	start	end	strand	event_type	sample_name	is_annotated	coord_prev	coord_next	junction_id_l	junction_id_r	is_annotated_right	cov	ipsa_min	exon_id_right	cov_right	start_right	end_right	novel_start	novel_end	novel_length	cons_avg	ann_frac	cons_avg_ann_cdf	ipsa_min_ann_cdf	cov_ann_cdf	ann_cdf_min	refseq_annotated	is_left_novel	is_right_novel	meta
chr1_154241700_154241797_+	chr1	154241700	154241797	+	CE	CHX_M4_10	false	154241565	154243217	chr1_154241565_154241700_+	chr1_154241797_154243217_+	true	61.69388	53					154241700	154241797	97	588.000022985755	0.0	0.7304	0.6589	0.6204	0.6204	false	true	true	CHX
chr4_128092777_128093031_+	chr4	128092777	128093031	+	CE	CHX_M4_10	false	128091512	128098186	chr4_128091512_128092777_+	chr4_128093031_128098186_+	true	5.541176	4					128092777	128093031	254	562.343590311516	0.0	0.6948	0.0807	0.0698	0.0698	false	true	true	CHX
chr8_102302271_102302481_-	chr8	102302271	102302481	-	CE	CHX_M4_10	false	102300151	102304043	chr8_102300151_102302271_-	chr8_102302481_102304043_-	true	15.123222	4					102302271	102302481	210	702.8051063211	0.0	0.8933	0.0807	0.2551	0.0807	false	true	true	CHX
chr2_53913871_53913931_-	chr2	53913871	53913931	-	CE	CHX_M4_10	false	53910130	53919151	chr2_53910130_53913871_-	chr2_53913931_53919151_-	true	8.606558	6					53913871	53913931	60	673.0	0.0	0.8513	0.1617	0.1415	0.1415	false	true	true	CHX
chr10_124962287_124962408_+	chr10	124962287	124962408	+	CE	CHX_M4_10	false	124943307	124966594	chr10_124943307_124962287_+	chr10_124962408_124966594_+	true	10.385246	11					124962287	124962408	121	594.4392484979759	0.0	0.7398	0.2818	0.178	0.178	false	true	true	CHX
chr11_33028366_33028480_+	chr11	33028366	33028480	+	CE	CHX_M4_10	false	33027813	33028603	chr11_33027813_33028366_+	chr11_33028480_33028603_+	true	305.56088	85					33028366	33028480	114	403.85600025599996	0.0	0.402	0.7671	0.9196	0.402	false	true	true	CHX
chr17_51067932_51068012_-	chr17	51067932	51068012	-	CE	CHX_M4_10	false	51056482	51079584	chr17_51056482_51067932_-	chr17_51068012_51079584_-	true	37.135803	33					51067932	51068012	80	662.318688897558	0.0	0.8327	0.5379	0.4748	0.4748	false	true	true	CHX
chr9_134049676_134049757_-	chr9	134049676	134049757	-	CE	CHX_M4_10	false	134048454	134050374	chr9_134048454_134049676_-	chr9_134049757_134050374_-	true	3.52439	3					134049676	134049757	81	325.53245244	0.0	0.2798	0.04	0.03	0.03	false	true	true	CHX
chr5_5453116_5453212_+	chr5	5453116	5453212	+	CE	CHX_M4_10	false	5447897	5454552	chr5_5447897_5453116_+	chr5_5453212_5454552_+	true	12.680412	6					5453116	5453212	96	488.91578648950804	0.0	0.5642	0.1617	0.2179	0.1617	false	true	true	CHX
chr20_45944245_45944320_+	chr20	45944245	45944320	+	CE	CHX_M4_10	false	45943765	45944868	chr20_45943765_45944245_+	chr20_45944320_45944868_+	true	7.56579	7					45944245	45944320	75	578.0	0.0	0.7169	0.1879	0.1141	0.1141	false	true	true	CHX
chr14_45046901_45047024_+	chr14	45046901	45047024	+	CE	CHX_M4_10	false	45046703	45052436	chr14_45046703_45046901_+	chr14_45047024_45052436_+	true	4.282258	4					45046901	45047024	123	379.73122320424204	0.0	0.3666	0.0807	0.0438	0.0438	false	true	true	CHX
chr11_59657080_59657153_-	chr11	59657080	59657153	-	CE	CHX_M4_10	false	59656600	59657530	chr11_59656600_59657080_-	chr11_59657153_59657530_-	true	86.02702	72					59657080	59657153	73	687.0	0.0	0.8714	0.7322	0.7095	0.7095	false	true	true	CHX
chr5_148411080_148411238_+	chr5	148411080	148411238	+	CE	CHX_M4_11	false	148410765	148414136	chr5_148410765_148411080_+	chr5_148411238_148414136_+	true	9.918239	4					148411080	148411238	158	565.621184843556	0.0	0.6909	0.0907	0.1712	0.0907	false	true	true	CHX
chr1_176144005_176144100_-	chr1	176144005	176144100	-	CE	CHX_M4_11	false	176136547	176149006	chr1_176136547_176144005_-	chr1_176144100_176149006_-	true	4.333333	3					176144005	176144100	95	639.0	0.0	0.7991	0.0502	0.0383	0.0383	false	true	true	CHX
chr6_72299090_72299177_+	chr6	72299090	72299177	+	CE	CHX_M4_11	false	72295966	72307258	chr6_72295966_72299090_+	chr6_72299177_72307258_+	true	3.375	3					72299090	72299177	87	667.0	0.0	0.834	0.0502	0.0254	0.0254	false	true	true	CHX
chr11_59657080_59657153_-	chr11	59657080	59657153	-	CE	CHX_M4_11	false	59656600	59657530	chr11_59656600_59657080_-	chr11_59657153_59657530_-	true	74.10811	63					59657080	59657153	73	687.0	0.0	0.8647	0.7254	0.6995	0.6995	false	true	true	CHX
chr17_37473732_37473801_+	chr17	37473732	37473801	+	CE	CHX_M4_11	false	37471137	37474556	chr17_37471137_37473732_+	chr17_37473801_37474556_+	true	5.4	4					37473732	37473801	69	203.85	0.0	0.1585	0.0907	0.0653	0.0653	false	true	true	CHX
chr7_74715123_74715166_+	chr7	74715123	74715166	+	CE	CHX_M4_11	false	74714916	74716894	chr7_74714916_74715123_+	chr7_74715166_74716894_+	true	5.249978	5					74715123	74715166	43	614.0	0.0	0.7613	0.1299	0.0618	0.0618	false	true	true	CHX
chr6_111364944_111365042_-	chr6	111364944	111365042	-	CE	CHX_M4_11	false	111363978	111365265	chr6_111363978_111364944_-	chr6_111365042_111365265_-	true	9.434343	6					111364944	111365042	98	651.0	0.0	0.8126	0.1644	0.1631	0.1631	false	true	true	CHX
chr21_28961078_28961192_-	chr21	28961078	28961192	-	CE	CHX_M4_11	false	28960706	28965865	chr21_28960706_28961078_-	chr21_28961192_28965865_-	true	13.399999	9					28961078	28961192	114	384.240000144	0.0	0.3661	0.2424	0.2384	0.2384	false	true	true	CHX
chr1_154241700_154241797_+	chr1	154241700	154241797	+	CE	CHX_M4_11	false	154241565	154243217	chr1_154241565_154241700_+	chr1_154241797_154243217_+	true	69.62245	53					154241700	154241797	97	588.000022985755	0.0	0.7246	0.6855	0.6844	0.6844	false	true	true	CHX
chr11_33028366_33028480_+	chr11	33028366	33028480	+	CE	CHX_M4_11	false	33027813	33028603	chr11_33027813_33028366_+	chr11_33028480_33028603_+	true	291.65652	98					33028366	33028480	114	403.85600025599996	0.0	0.3963	0.8118	0.9236	0.3963	false	true	true	CHX
