seqname	start	end	exon_id	strand	event_type	junction_id_l	junction_id_r	coord_prev	coord_next	novel_length	expr_exon	expr_junction	phastcons	meta	sample_count	GB_link
chr1	77631835	77633405	chr1_77631835_77633405_-	-	5'AS	chr1_77584655_77631835_-	chr1_77633405_77639449_-	77584655	77639449	15	11.76	9.3	750.0	""	243	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A77584645%2D77639459
chr10	17599172	17599411	chr10_17599172_17599411_-	-	5'AS	chr10_17594383_17599172_-	chr10_17599411_17603560_-	17594383	17603560	118	30.48	9.67	138.26	""	140	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A17594373%2D17603570
chr8	143717990	143718076	chr8_143717990_143718076_+	+	3'AS	chr8_143717792_143717990_+	chr8_143718076_143718212_+	143717792	143718212	57	32.58	12.3	90.21	""	30	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A143717782%2D143718222
chr8	23289866	23290506	chr8_23289866_23290506_+	+	5'AS	chr8_23289153_23289866_+	chr8_23290506_23291361_+	23289153	23291361	37	12.43	7.33	313.29	""	6	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A23289143%2D23291371
chr9	136853099	136853209	chr9_136853099_136853209_+	+	3'AS	chr9_136852462_136853099_+	chr9_136853209_136853285_+	136852462	136853285	3	28.17	19.55	162.21	""	86	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A136852452%2D136853295
chr12	109561416	109561517	chr12_109561416_109561517_-	-	5'AS	chr12_109561329_109561416_-	chr12_109561517_109561780_-	109561329	109561780	4	17.73	9.2	245.0	""	61	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A109561319%2D109561790
chr10	102431375	102431461	chr10_102431375_102431461_-	-	CE	chr10_102425198_102431375_-	chr10_102431461_102432526_-	102425198	102432526	86	21.03	8.92	16.86	""	48	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A102425188%2D102432536
chr5	34006817	34007089	chr5_34006817_34007089_-	-	CE	chr5_34005899_34006817_-	chr5_34007089_34007773_-	34005899	34007773	272	118.71	26.16	5.96	""	56	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A34005889%2D34007783
chr19	55252094	55252129	chr19_55252094_55252129_-	-	CE	chr19_55247109_55252094_-	chr19_55252129_55258435_-	55247109	55258435	35	19.12	10.8	0.0	""	50	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A55247099%2D55258445
chr19	15271322	15271392	chr19_15271322_15271392_-	-	CE	chr19_15269042_15271322_-	chr19_15271392_15272815_-	15269042	15272815	70	16.22	11.5	0.0	""	4	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A15269032%2D15272825
