exon_id	seqname	start	end	strand	event_type	sample_name	is_annotated	coord_prev	coord_next	junction_id_l	junction_id_r	is_annotated_right	cov	ipsa_min	exon_id_right	cov_right	start_right	end_right	novel_start	novel_end	novel_length	cons_avg	ann_frac	cons_avg_ann_cdf	ipsa_min_ann_cdf	cov_ann_cdf	ann_cdf_min	refseq_annotated	is_left_novel	is_right_novel	meta
chr13_69702145_69702207_-	chr13	69702145	69702207	-	CE	CHX_M4_10	false	69701761	69707625	chr13_69701761_69702145_-	chr13_69702207_69707625_-	true	31.412699	25					69702145	69702207	62	325.4796	0.0	0.2286	0.4668	0.4281	0.2286	false	true	true	CHX
chr1_154241700_154241797_+	chr1	154241700	154241797	+	CE	CHX_M4_10	false	154241565	154243217	chr1_154241565_154241700_+	chr1_154241797_154243217_+	true	61.69388	53					154241700	154241797	97	673.0	0.0	0.9154	0.6528	0.6163	0.6163	false	true	true	CHX
chr17_8122837_8122885_-	chr17	8122837	8122885	-	CE	CHX_M4_10	false	8122430	8123031	chr17_8122430_8122837_-	chr17_8122885_8123031_-	true	21.734694	16					8122837	8122885	48	477.0	0.0	0.4355	0.3622	0.3322	0.3322	false	true	true	CHX
chr4_128092777_128093031_+	chr4	128092777	128093031	+	CE	CHX_M4_10	false	128091512	128098186	chr4_128091512_128092777_+	chr4_128093031_128098186_+	true	5.541176	4					128092777	128093031	254	565.0	0.0	0.6972	0.0781	0.0657	0.0657	false	true	true	CHX
chr8_102302271_102302481_-	chr8	102302271	102302481	-	CE	CHX_M4_10	false	102300151	102304043	chr8_102300151_102302271_-	chr8_102302481_102304043_-	true	15.123222	4					102302271	102302481	210	829.0	0.0	0.9932	0.0781	0.2505	0.0781	false	true	true	CHX
chrX_55752246_55752401_+	chrX	55752246	55752401	+	CE	CHX_M4_10	false	55751196	55753392	chrX_55751196_55752246_+	chrX_55752401_55753392_+	true	3.033693	3					55752246	55752401	155	713.0	0.0	0.9519	0.0397	0.0205	0.0205	false	true	true	CHX
chr2_53913871_53913931_-	chr2	53913871	53913931	-	CE	CHX_M4_10	false	53910130	53919151	chr2_53910130_53913871_-	chr2_53913931_53919151_-	true	8.606558	6					53913871	53913931	60	636.0	0.0	0.8581	0.1566	0.1388	0.1388	false	true	true	CHX
chr10_124962287_124962408_+	chr10	124962287	124962408	+	CE	CHX_M4_10	false	124943307	124966594	chr10_124943307_124962287_+	chr10_124962408_124966594_+	true	10.385246	11					124962287	124962408	121	696.0	0.0	0.9372	0.2744	0.1761	0.1761	false	true	true	CHX
chr11_33028366_33028480_+	chr11	33028366	33028480	+	CE	CHX_M4_10	false	33027813	33028603	chr11_33027813_33028366_+	chr11_33028480_33028603_+	true	305.56088	85					33028366	33028480	114	456.432	0.0	0.3863	0.7622	0.9177	0.3863	false	true	true	CHX
chr17_61953369_61953463_-	chr17	61953369	61953463	-	CE	CHX_M4_10	false	61953113	61955382	chr17_61953113_61953369_-	chr17_61953463_61955382_-	true	9.494737	9					61953369	61953463	94	537.0	0.0	0.6129	0.2321	0.1595	0.1595	false	true	true	CHX
chr17_51067932_51068012_-	chr17	51067932	51068012	-	CE	CHX_M4_10	false	51056482	51079584	chr17_51056482_51067932_-	chr17_51068012_51079584_-	true	37.135803	33					51067932	51068012	80	639.0	0.0	0.8639	0.5335	0.472	0.472	false	true	true	CHX
chr8_100134956_100135019_-	chr8	100134956	100135019	-	CE	CHX_M4_10	false	100134364	100137565	chr8_100134364_100134956_-	chr8_100135019_100137565_-	true	11.65625	9					100134956	100135019	63	433.0	0.0	0.3456	0.2321	0.1976	0.1976	false	true	true	CHX
chr1_70293504_70293620_-	chr1	70293504	70293620	-	CE	CHX_M4_10	false	70292549	70296130	chr1_70292549_70293504_-	chr1_70293620_70296130_-	true	12.632479	11					70293504	70293620	116	582.0	0.0	0.7443	0.2744	0.2134	0.2134	false	true	true	CHX
chr1_155263573_155263708_-	chr1	155263573	155263708	-	CE	CHX_M4_10	false	155263400	155263950	chr1_155263400_155263573_-	chr1_155263708_155263950_-	true	6.683824	7					155263573	155263708	135	582.0	0.0	0.7443	0.1819	0.0888	0.0888	false	true	true	CHX
chr18_8625801_8625994_+	chr18	8625801	8625994	+	CE	CHX_M4_10	false	8624998	8633189	chr18_8624998_8625801_+	chr18_8625994_8633189_+	true	9.319589	7					8625801	8625994	193	485.29425393150495	0.0	0.4562	0.1819	0.1545	0.1545	false	true	true	CHX
chr7_149211671_149211723_+	chr7	149211671	149211723	+	CE	CHX_M4_10	false	149210704	149212358	chr7_149210704_149211671_+	chr7_149211723_149212358_+	true	15.226415	9					149211671	149211723	52	264.333366375	0.0	0.1761	0.2321	0.251	0.1761	false	true	true	CHX
chr9_134049676_134049757_-	chr9	134049676	134049757	-	CE	CHX_M4_10	false	134048454	134050374	chr9_134048454_134049676_-	chr9_134049757_134050374_-	true	3.52439	3					134049676	134049757	81	505.0	0.0	0.5154	0.0397	0.0276	0.0276	false	true	true	CHX
chr21_15822288_15822411_+	chr21	15822288	15822411	+	CE	CHX_M4_10	false	15818846	15824039	chr21_15818846_15822288_+	chr21_15822411_15824039_+	true	13.274194	8					15822288	15822411	123	445.0	0.0	0.3648	0.2066	0.2239	0.2066	false	true	true	CHX
chr5_5453116_5453212_+	chr5	5453116	5453212	+	CE	CHX_M4_10	false	5447897	5454552	chr5_5447897_5453116_+	chr5_5453212_5454552_+	true	12.680412	6					5453116	5453212	96	583.0	0.0	0.7472	0.1566	0.215	0.1566	false	true	true	CHX
chrX_70162346_70162464_+	chrX	70162346	70162464	+	CE	CHX_M4_10	false	70150322	70165833	chrX_70150322_70162346_+	chrX_70162464_70165833_+	true	13.184869	6					70162346	70162464	118	443.0	0.0	0.3614	0.1566	0.2226	0.1566	false	true	true	CHX
chr16_70679110_70679248_-	chr16	70679110	70679248	-	CE	CHX_M4_10	false	70678409	70679630	chr16_70678409_70679110_-	chr16_70679248_70679630_-	true	3.654676	3					70679110	70679248	138	316.321959856158	0.0	0.2205	0.0397	0.0305	0.0305	false	true	true	CHX
