seqname	start	end	exon_id	strand	event_type	junction_id_l	junction_id_r	coord_prev	coord_next	novel_length	expr_exon	expr_junction	phastcons	meta	sample_count	GB_link
chr1	44645407	44645488	chr1_44645407_44645488_+	+	3'AS	chr1_44645276_44645407_+	chr1_44645488_44649661_+	44645276	44649661	3	12.11	5.6	359.36	Breast,Heart,Nerve,Thyroid	5	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A44645266%2D44649671
chr2	227272949	227273121	chr2_227272949_227273121_+	+	5'AS	chr2_227270952_227272949_+	chr2_227273121_227276385_+	227270952	227276385	4	13.09	9.78	539.0	Adrenal Gland,Blood Vessel,Esophagus,Heart,Kidney,Lung,Muscle,Ovary,Pituitary,Thyroid	260	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A227270942%2D227276395
chr20	34860254	34860414	chr20_34860254_34860414_-	-	3'AS	chr20_34860042_34860254_-	chr20_34860414_34861445_-	34860042	34861445	93	25.14	9.21	551.43	Adipose Tissue,Blood,Blood Vessel,Brain,Breast,Colon,Esophagus,Heart,Kidney,Liver,Lung,Muscle,Nerve,Ovary,Pancreas,Pituitary,Prostate,Skin,Stomach,Testis,Thyroid,Uterus,Vagina	317	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A34860032%2D34861455
chr9	110387283	110387458	chr9_110387283_110387458_-	-	5'AS	chr9_110386074_110387283_-	chr9_110387458_110389524_-	110386074	110389524	2	18.97	7.71	530.0	Adipose Tissue,Brain,Breast,Esophagus,Lung,Nerve,Stomach	21	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A110386064%2D110389534
chr4	8216957	8217171	chr4_8216957_8217171_+	+	5'AS	chr4_8216257_8216957_+	chr4_8217171_8218271_+	8216257	8218271	4	9.48	7.63	490.0	Adipose Tissue,Blood,Breast,Liver,Lung,Thyroid	19	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A8216247%2D8218281
chr7	76280055	76280074	chr7_76280055_76280074_+	+	CE	chr7_76273595_76280055_+	chr7_76280074_76281441_+	76273595	76281441	19	112.33	60.05	767.0	Adrenal Gland,Brain,Pituitary,Skin	535	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A76273585%2D76281451
chr7	74715123	74715166	chr7_74715123_74715166_+	+	CE	chr7_74714916_74715123_+	chr7_74715166_74716894_+	74714916	74716894	43	33.39	21.19	614.0	Adipose Tissue,Adrenal Gland,Blood,Blood Vessel,Brain,Breast,Lung,Muscle,Nerve,Pituitary,Skin,Stomach,Thyroid	36	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A74714906%2D74716904
chr17	66796448	66796495	chr17_66796448_66796495_+	+	CE	chr17_66788979_66796448_+	chr17_66796495_66803873_+	66788979	66803873	47	18.12	12.32	585.0	Muscle	199	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A66788969%2D66803883
chr13	60547244	60547491	chr13_60547244_60547491_+	+	CE	chr13_60535233_60547244_+	chr13_60547491_60567525_+	60535233	60567525	247	20.4	8.37	476.52	Adipose Tissue,Blood Vessel,Brain,Esophagus,Heart,Kidney,Lung,Muscle,Nerve,Ovary,Testis,Uterus,Vagina	41	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr13%3A60535223%2D60567535
chr12	108210121	108210309	chr12_108210121_108210309_+	+	5'AS	chr12_108206403_108210121_+	chr12_108210309_108224739_+	108206403	108224739	4	29.48	8.23	507.0	Brain	13	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A108206393%2D108224749
