seqname	start	end	exon_id	strand	event_type	junction_id_l	junction_id_r	coord_prev	coord_next	novel_length	expr_exon	expr_junction	phastcons	meta	sample_count	GB_link
chr1	20749723	20749975	chr1_20749723_20749975_-	-	3'AS	chr1_20747655_20749723_-	chr1_20749975_20757166_-	20747655	20757166	93	26.69	21.95	771.0	""	807	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A20747645%2D20757176
chr14	55663955	55664044	chr14_55663955_55664044_+	+	5'AS	chr14_55661612_55663955_+	chr14_55664044_55667241_+	55661612	55667241	3	39.83	6.14	745.0	""	21	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A55661602%2D55667251
chr8	47839148	47839249	chr8_47839148_47839249_-	-	3'AS	chr8_47837419_47839148_-	chr8_47839249_47840016_-	47837419	47840016	3	23.54	30.83	329.14	""	2923	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A47837409%2D47840026
chr9	85978225	85978381	chr9_85978225_85978381_+	+	3'AS	chr9_85977446_85978225_+	chr9_85978381_85996399_+	85977446	85996399	42	13.24	7.4	661.96	""	5	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A85977436%2D85996409
chr19	38815852	38816007	chr19_38815852_38816007_-	-	5'AS	chr19_38815717_38815852_-	chr19_38816007_38816284_-	38815717	38816284	5	140.13	11.35	310.75	""	145	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A38815707%2D38816294
chr8	100951929	100952128	chr8_100951929_100952128_-	-	3'AS	chr8_100948900_100951929_-	chr8_100952128_100952850_-	100948900	100952850	3	63.29	11.18	634.0	""	442	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A100948890%2D100952860
chr7	32570020	32570166	chr7_32570020_32570166_+	+	5'AS	chr7_32559464_32570020_+	chr7_32570166_32573199_+	32559464	32573199	12	16.16	13.14	419.48	""	1058	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A32559454%2D32573209
chr12	71921368	71921470	chr12_71921368_71921470_+	+	5'AS	chr12_71920847_71921368_+	chr12_71921470_71922983_+	71920847	71922983	16	9.47	4.0	339.89	""	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A71920837%2D71922993
chr12	901561	901653	chr12_901561_901653_+	+	5'AS	chr12_900670_901561_+	chr12_901653_904453_+	900670	904453	21	14.84	12.81	777.0	""	21	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A900660%2D904463
chr12	553194	553988	chr12_553194_553988_+	+	5'AS	chr12_552528_553194_+	chr12_553988_556547_+	552528	556547	5	20.3	11.6	445.38	""	288	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A552518%2D556557
chrX	132218147	132218341	chrX_132218147_132218341_-	-	5'AS	chrX_132218012_132218147_-	chrX_132218341_132219370_-	132218012	132219370	85	24.84	11.0	412.94	""	3	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chrX%3A132218002%2D132219380
chr19	35878572	35878654	chr19_35878572_35878654_+	+	3'AS	chr19_35878108_35878572_+	chr19_35878654_35878890_+	35878108	35878890	12	12.03	5.5	474.0	""	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A35878098%2D35878900
chr14	58360901	58361102	chr14_58360901_58361102_+	+	5'AS	chr14_58359216_58360901_+	chr14_58361102_58364170_+	58359216	58364170	60	14.28	9.25	375.61	""	265	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A58359206%2D58364180
chr19	42022241	42022357	chr19_42022241_42022357_-	-	3'AS	chr19_42022056_42022241_-	chr19_42022357_42042552_-	42022056	42042552	3	17.02	9.46	463.36	""	72	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A42022046%2D42042562
