seqname	start	end	exon_id	strand	event_type	junction_id_l	junction_id_r	coord_prev	coord_next	novel_length	expr_exon	expr_junction	phastcons	meta	sample_count	GB_link
chr1	206459585	206459679	chr1_206459585_206459679_+	+	CE	chr1_206458947_206459585_+	chr1_206459679_206461037_+	206458947	206461037	94	50.02	32.66	540.0	Adipose Tissue,Adrenal Gland,Blood,Blood Vessel,Esophagus,Lung,Nerve,Ovary,Skin,Stomach,Vagina	619	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A206458937%2D206461047
chr9	131486481	131486541	chr9_131486481_131486541_+	+	CE	chr9_131486182_131486481_+	chr9_131486541_131487167_+	131486182	131487167	60	28.4	16.47	486.0	Adipose Tissue,Blood,Blood Vessel,Brain,Breast,Colon,Esophagus,Heart,Kidney,Liver,Lung,Muscle,Nerve,Pancreas,Prostate,Skin,Stomach,Testis,Thyroid	794	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A131486172%2D131487177
chr11	119012115	119012254	chr11_119012115_119012254_+	+	3'AS	chr11_119012003_119012115_+	chr11_119012254_119013232_+	119012003	119013232	34	21.62	11.8	451.0	Adipose Tissue,Adrenal Gland,Blood,Blood Vessel,Brain,Breast,Colon,Esophagus,Fallopian Tube,Heart,Kidney,Liver,Lung,Muscle,Nerve,Ovary,Pancreas,Pituitary,Prostate,Skin,Stomach,Testis,Thyroid,Uterus,Vagina	1468	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A119011993%2D119013242
chr5	150534867	150535025	chr5_150534867_150535025_+	+	5'AS	chr5_150533032_150534867_+	chr5_150535025_150535700_+	150533032	150535700	4	10.69	9.07	567.0	Adipose Tissue,Adrenal Gland,Blood,Blood Vessel,Brain,Breast,Colon,Esophagus,Heart,Liver,Lung,Muscle,Nerve,Ovary,Pancreas,Pituitary,Prostate,Skin,Stomach,Testis,Thyroid,Uterus,Vagina	1030	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A150533022%2D150535710
chr9	85976685	85976835	chr9_85976685_85976835_+	+	5'AS	chr9_85975157_85976685_+	chr9_85976835_85977363_+	85975157	85977363	100	9.8	7.81	643.0	Adipose Tissue,Blood Vessel,Brain,Breast,Colon,Esophagus,Heart,Kidney,Liver,Lung,Muscle,Nerve,Ovary,Pancreas,Pituitary,Prostate,Skin,Stomach,Testis,Thyroid,Uterus,Vagina	512	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A85975147%2D85977373
chr14	75654882	75654976	chr14_75654882_75654976_-	-	5'AS	chr14_75651889_75654882_-	chr14_75654976_75657370_-	75651889	75657370	4	9.2	8.81	524.0	Adipose Tissue,Adrenal Gland,Blood,Blood Vessel,Brain,Breast,Colon,Esophagus,Heart,Kidney,Lung,Muscle,Nerve,Ovary,Pancreas,Pituitary,Skin,Stomach,Thyroid,Uterus,Vagina	214	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A75651879%2D75657380
chr1	160261285	160261397	chr1_160261285_160261397_-	-	3'AS	chr1_160244034_160261285_-	chr1_160261397_160262117_-	160244034	160262117	39	15.3	7.33	482.0	Blood Vessel,Esophagus,Muscle,Uterus	6	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A160244024%2D160262127
chr11	47812867	47813047	chr11_47812867_47813047_-	-	5'AS	chr11_47812429_47812867_-	chr11_47813047_47813316_-	47812429	47813316	15	8.66	8.54	541.0	Adipose Tissue,Blood Vessel,Brain,Breast,Colon,Esophagus,Lung,Nerve,Ovary,Pituitary,Prostate,Skin,Stomach,Testis,Thyroid,Uterus,Vagina	129	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A47812419%2D47813326
chr20	34103439	34103565	chr20_34103439_34103565_-	-	5'AS	chr20_34098633_34103439_-	chr20_34103565_34105368_-	34098633	34105368	23	20.28	13.6	579.0	Adipose Tissue,Lung,Skin,Uterus	5	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A34098623%2D34105378
chr7	92577655	92577679	chr7_92577655_92577679_-	-	3'AS	chr7_92577195_92577655_-	chr7_92577679_92578150_-	92577195	92578150	3	11.73	9.37	581.0	Adipose Tissue,Adrenal Gland,Blood Vessel,Brain,Breast,Colon,Esophagus,Heart,Liver,Lung,Muscle,Nerve,Ovary,Pancreas,Prostate,Skin,Testis,Thyroid,Uterus,Vagina	372	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A92577185%2D92578160
chr17	42672086	42672447	chr17_42672086_42672447_-	-	3'AS	chr17_42671558_42672086_-	chr17_42672447_42673176_-	42671558	42673176	55	12.52	8.31	602.0	Brain,Muscle,Pituitary	45	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A42671548%2D42673186
chr15	63588248	63588423	chr15_63588248_63588423_+	+	3'AS	chr15_63574403_63588248_+	chr15_63588423_63588702_+	63574403	63588702	57	11.44	7.67	413.62	Blood,Brain,Uterus	6	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A63574393%2D63588712
chr2	69843088	69843261	chr2_69843088_69843261_+	+	3'AS	chr2_69841039_69843088_+	chr2_69843261_69844131_+	69841039	69844131	61	10.33	8.71	619.0	Brain,Nerve,Ovary,Testis	55	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A69841029%2D69844141
chr9	85978225	85978381	chr9_85978225_85978381_+	+	3'AS	chr9_85977446_85978225_+	chr9_85978381_85996399_+	85977446	85996399	42	8.74	8.4	644.0	Adipose Tissue,Blood Vessel,Brain,Breast,Colon,Esophagus,Heart,Ovary,Pituitary,Prostate,Testis,Thyroid,Uterus,Vagina	43	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A85977436%2D85996409
chr8	58433160	58433247	chr8_58433160_58433247_+	+	5'AS	chr8_58430669_58433160_+	chr8_58433247_58434395_+	58430669	58434395	4	5.59	5.0	523.0	Blood	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A58430659%2D58434405
chrX	154460157	154460781	chrX_154460157_154460781_+	+	5'AS	chrX_154458428_154460157_+	chrX_154460781_154461099_+	154458428	154461099	4	11.68	6.17	421.0	Adipose Tissue,Blood Vessel,Brain,Nerve	6	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chrX%3A154458418%2D154461109
chr15	85718010	85718159	chr15_85718010_85718159_+	+	3'AS	chr15_85717402_85718010_+	chr15_85718159_85719076_+	85717402	85719076	3	9.04	9.34	560.0	Adipose Tissue,Blood,Blood Vessel,Heart,Liver,Lung,Nerve,Ovary,Pancreas,Skin,Stomach,Testis,Thyroid,Uterus	35	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A85717392%2D85719086
chr11	47268229	47268355	chr11_47268229_47268355_+	+	3'AS	chr11_47268026_47268229_+	chr11_47268355_47268550_+	47268026	47268550	32	49.53	10.0	527.0	Brain,Liver,Prostate	3	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A47268016%2D47268560
chr14	71705188	71705340	chr14_71705188_71705340_+	+	3'AS	chr14_71702505_71705188_+	chr14_71705340_71709222_+	71702505	71709222	34	25.94	7.0	533.91	Brain	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A71702495%2D71709232
chr6	33293016	33293327	chr6_33293016_33293327_-	-	3'AS	chr6_33292544_33293016_-	chr6_33293327_33293413_-	33292544	33293413	21	24.65	12.83	362.31	Blood Vessel,Skin,Thyroid,Uterus	6	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A33292534%2D33293423
chr17	2379432	2379516	chr17_2379432_2379516_+	+	5'AS	chr17_2379203_2379432_+	chr17_2379516_2380265_+	2379203	2380265	23	36.28	12.66	503.0	Adrenal Gland,Brain,Heart,Nerve,Stomach,Testis,Thyroid	41	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A2379193%2D2380275
chr1	150346408	150346501	chr1_150346408_150346501_+	+	5'AS	chr1_150346136_150346408_+	chr1_150346501_150349157_+	150346136	150349157	10	8.6	8.8	589.0	Brain,Liver,Pancreas	5	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A150346126%2D150349167
chr2	27616819	27617024	chr2_27616819_27617024_+	+	CE	chr2_27616324_27616819_+	chr2_27617024_27617473_+	27616324	27617473	205	15.92	6.0	297.81	Testis	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A27616314%2D27617483
chr11	46860929	46860987	chr11_46860929_46860987_-	-	CE	chr11_46859315_46860929_-	chr11_46860987_46862606_-	46859315	46862606	58	15.62	9.36	525.0	Heart,Muscle	42	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A46859305%2D46862616
chr5	61525016	61525147	chr5_61525016_61525147_+	+	CE	chr5_61521442_61525016_+	chr5_61525147_61525800_+	61521442	61525800	131	15.98	9.43	826.0	Blood,Muscle,Nerve,Stomach	7	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A61521432%2D61525810
chr13	44541094	44541252	chr13_44541094_44541252_-	-	CE	chr13_44539936_44541094_-	chr13_44541252_44573163_-	44539936	44573163	158	22.0	8.0	588.0	Testis	5	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr13%3A44539926%2D44573173
chr13	107172529	107172574	chr13_107172529_107172574_-	-	CE	chr13_107170786_107172529_-	chr13_107172574_107210584_-	107170786	107210584	45	13.5	8.75	559.0	Brain,Testis	16	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr13%3A107170776%2D107210594
chr10	86679367	86679522	chr10_86679367_86679522_+	+	5'AS	chr10_86668784_86679367_+	chr10_86679522_86680082_+	86668784	86680082	4	61.81	13.0	572.0	Blood Vessel,Heart	3	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A86668774%2D86680092
chr1	88961381	88961575	chr1_88961381_88961575_-	-	3'AS	chr1_88955225_88961381_-	chr1_88961575_88962059_-	88955225	88962059	69	9.77	7.5	470.68	Ovary,Thyroid	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A88955215%2D88962069
chr3	51379449	51379931	chr3_51379449_51379931_+	+	CE	chr3_51375835_51379449_+	chr3_51379931_51380125_+	51375835	51380125	482	15.94	7.5	268.52	Thyroid	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A51375825%2D51380135
chr9	99043594	99043619	chr9_99043594_99043619_+	+	CE	chr9_99042107_99043594_+	chr9_99043619_99044568_+	99042107	99044568	25	17.44	8.29	398.0	Testis	7	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A99042097%2D99044578
chr15	60445693	60445791	chr15_60445693_60445791_-	-	CE	chr15_60442545_60445693_-	chr15_60445791_60447970_-	60442545	60447970	98	15.41	8.82	169.21	Testis	11	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A60442535%2D60447980
chr15	58990916	58990948	chr15_58990916_58990948_+	+	CE	chr15_58988068_58990916_+	chr15_58990948_59004002_+	58988068	59004002	32	12.7	7.0	175.81	Testis	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A58988058%2D59004012
chr12	81369622	81369708	chr12_81369622_81369708_-	-	CE	chr12_81369194_81369622_-	chr12_81369708_81374634_-	81369194	81374634	86	12.2	7.0	771.0	Brain	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A81369184%2D81374644
chr4	152885399	152885666	chr4_152885399_152885666_+	+	CE	chr4_152882880_152885399_+	chr4_152885666_152888133_+	152882880	152888133	267	18.22	12.33	490.09	Breast,Skin,Vagina	3	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A152882870%2D152888143
