seqname	start	end	exon_id	strand	event_type	junction_id_l	junction_id_r	coord_prev	coord_next	novel_length	expr_exon	expr_junction	phastcons	meta	sample_count	GB_link
chr16	4426410	4426549	chr16_4426410_4426549_+	+	CE	chr16_4426092_4426410_+	chr16_4426549_4434384_+	4426092	4434384	139	6.14	3.0	0.0	CHX	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A4426082%2D4434394
chr17	75099060	75099204	chr17_75099060_75099204_+	+	CE	chr17_75098181_75099060_+	chr17_75099204_75100007_+	75098181	75100007	144	9.8	3.0	3.32	CHX	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A75098171%2D75100017
chr2	42685934	42686093	chr2_42685934_42686093_+	+	CE	chr2_42682589_42685934_+	chr2_42686093_42695765_+	42682589	42695765	159	4.21	3.5	6.05	CHX	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A42682579%2D42695775
chr15	69304603	69304681	chr15_69304603_69304681_+	+	CE	chr15_69299056_69304603_+	chr15_69304681_69337341_+	69299056	69337341	78	5.76	4.67	6.22	CHX,SS	3	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A69299046%2D69337351
chr9	86298767	86299272	chr9_86298767_86299272_-	-	CE	chr9_86288744_86298767_-	chr9_86299272_86301276_-	86288744	86301276	505	7.3	3.0	250.36	SS	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A86288734%2D86301286
chr9	93663492	93663635	chr9_93663492_93663635_+	+	3'AS	chr9_93663026_93663492_+	chr9_93663635_93665686_+	93663026	93665686	25	4.32	4.0	222.75	CHX	5	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A93663016%2D93665696
chr7	131470842	131470954	chr7_131470842_131470954_+	+	5'AS	chr7_131466415_131470842_+	chr7_131470954_131478623_+	131466415	131478623	10	5.88	3.0	514.29	SS	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A131466405%2D131478633
chrX	55752227	55752353	chrX_55752227_55752353_+	+	CE	chrX_55751196_55752227_+	chrX_55752353_55753392_+	55751196	55753392	126	4.24	4.0	756.88	CHX	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chrX%3A55751186%2D55753402
chr3	44933114	44933199	chr3_44933114_44933199_-	-	5'AS	chr3_44929436_44933114_-	chr3_44933199_44933888_-	44929436	44933888	4	3.79	4.0	424.8	CHX	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A44929426%2D44933898
chr12	112254043	112254189	chr12_112254043_112254189_-	-	3'AS	chr12_112252528_112254043_-	chr12_112254189_112256320_-	112252528	112256320	27	3.83	4.33	730.0	CHX,SS	3	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A112252518%2D112256330
chr12	50675329	50675451	chr12_50675329_50675451_+	+	5'AS	chr12_50674629_50675329_+	chr12_50675451_50678679_+	50674629	50678679	3	4.24	6.56	737.0	CHX,SS	9	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A50674619%2D50678689
chrX	151955357	151955567	chrX_151955357_151955567_-	-	5'AS	chrX_151955084_151955357_-	chrX_151955567_151955708_-	151955084	151955708	11	3.13	5.5	270.0	SS	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chrX%3A151955074%2D151955718
chr6	37282468	37282504	chr6_37282468_37282504_+	+	CE	chr6_37282364_37282468_+	chr6_37282504_37282882_+	37282364	37282882	36	5.15	5.5	0.0	CHX	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A37282354%2D37282892
chr17	40490194	40490351	chr17_40490194_40490351_-	-	CE	chr17_40488969_40490194_-	chr17_40490351_40495987_-	40488969	40495987	157	10.19	8.0	18.61	CHX	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A40488959%2D40495997
chr19	19662347	19662499	chr19_19662347_19662499_-	-	CE	chr19_19659987_19662347_-	chr19_19662499_19663271_-	19659987	19663271	152	14.11	8.5	0.0	CHX	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A19659977%2D19663281
chr3	50110679	50110776	chr3_50110679_50110776_+	+	5'AS	chr3_50110463_50110679_+	chr3_50110776_50113383_+	50110463	50113383	6	8.41	8.0	290.94	SS	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A50110453%2D50113393
chr10	95898887	95899018	chr10_95898887_95899018_-	-	CE	chr10_95897679_95898887_-	chr10_95899018_95904830_-	95897679	95904830	131	7.58	4.29	373.28	CHX,SS	7	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A95897669%2D95904840
chr14	51692093	51692185	chr14_51692093_51692185_+	+	CE	chr14_51689935_51692093_+	chr14_51692185_51698142_+	51689935	51698142	92	3.46	3.0	10.39	CHX	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A51689925%2D51698152
chr19	40203672	40203718	chr19_40203672_40203718_+	+	CE	chr19_40198555_40203672_+	chr19_40203718_40204485_+	40198555	40204485	46	3.85	3.0	0.0	CHX	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A40198545%2D40204495
chr6	83276116	83276153	chr6_83276116_83276153_-	-	CE	chr6_83253738_83276116_-	chr6_83276153_83315310_-	83253738	83315310	37	5.51	3.5	25.94	CHX	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A83253728%2D83315320
chr9	130851394	130851547	chr9_130851394_130851547_+	+	CE	chr9_130835525_130851394_+	chr9_130851547_130854064_+	130835525	130854064	153	3.96	3.0	3.3	CHX	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A130835515%2D130854074
chr20	33381984	33382179	chr20_33381984_33382179_-	-	CE	chr20_33379691_33381984_-	chr20_33382179_33385650_-	33379691	33385650	195	8.39	6.0	19.18	CHX	5	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A33379681%2D33385660
