seqname	start	end	exon_id	strand	event_type	junction_id_l	junction_id_r	coord_prev	coord_next	novel_length	expr_exon	expr_junction	phastcons	meta	sample_count	GB_link
chr12	124336639	124337180	chr12_124336639_124337180_-	-	5'AS	chr12_124335632_124336639_-	chr12_124337180_124340006_-	124335632	124340006	114	26.59	17.12	598.0	""	5339	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A124335622%2D124340016
chr17	41518330	41518497	chr17_41518330_41518497_-	-	3'AS	chr17_41517165_41518330_-	chr17_41518497_41521685_-	41517165	41521685	36	102.58	15.74	510.0	""	69	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A41517155%2D41521695
chr22	50581420	50581608	chr22_50581420_50581608_-	-	3'AS	chr22_50580660_50581420_-	chr22_50581608_50581749_-	50580660	50581749	55	26.67	8.29	512.73	""	14	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr22%3A50580650%2D50581759
chr20	38574774	38575034	chr20_38574774_38575034_+	+	5'AS	chr20_38574298_38574774_+	chr20_38575034_38575873_+	38574298	38575873	94	14.13	9.33	492.46	""	12	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A38574288%2D38575883
chr17	58318280	58318490	chr17_58318280_58318490_-	-	3'AS	chr17_58316540_58318280_-	chr17_58318490_58319090_-	58316540	58319090	38	31.71	13.5	545.0	""	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A58316530%2D58319100
chr1	26942657	26942776	chr1_26942657_26942776_+	+	3'AS	chr1_26941818_26942657_+	chr1_26942776_26942871_+	26941818	26942871	3	22.68	11.6	515.0	""	5	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A26941808%2D26942881
chr3	48694694	48694841	chr3_48694694_48694841_-	-	3'AS	chr3_48694240_48694694_-	chr3_48694841_48695090_-	48694240	48695090	17	24.82	8.67	549.0	""	27	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A48694230%2D48695100
chr12	901561	901653	chr12_901561_901653_+	+	5'AS	chr12_900670_901561_+	chr12_901653_904453_+	900670	904453	21	14.84	12.81	655.0	""	21	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A900660%2D904463
chr1	177965047	177965174	chr1_177965047_177965174_-	-	3'AS	chr1_177964279_177965047_-	chr1_177965174_177965893_-	177964279	177965893	7	14.62	12.2	431.0	""	153	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A177964269%2D177965903
chr11	46871506	46871633	chr11_46871506_46871633_-	-	5'AS	chr11_46869132_46871506_-	chr11_46871633_46873100_-	46869132	46873100	19	46.08	8.1	529.0	""	10	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A46869122%2D46873110
chr7	44074131	44074226	chr7_44074131_44074226_-	-	3'AS	chr7_44074025_44074131_-	chr7_44074226_44074398_-	44074025	44074398	6	12.84	5.0	395.0	""	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A44074015%2D44074408
chr6	68975234	68975344	chr6_68975234_68975344_+	+	5'AS	chr6_68974864_68975234_+	chr6_68975344_68993768_+	68974864	68993768	4	15.44	6.0	606.0	""	8	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A68974854%2D68993778
chr14	77736971	77737095	chr14_77736971_77737095_-	-	3'AS	chr14_77736006_77736971_-	chr14_77737095_77738778_-	77736006	77738778	20	10.52	8.0	548.0	""	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A77735996%2D77738788
chr2	45601903	45602107	chr2_45601903_45602107_-	-	3'AS	chr2_45599835_45601903_-	chr2_45602107_45605362_-	45599835	45605362	24	7.12	5.0	451.0	""	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A45599825%2D45605372
chr12	57210718	57210883	chr12_57210718_57210883_+	+	5'AS	chr12_57210480_57210718_+	chr12_57210883_57211176_+	57210480	57211176	4	39.21	6.29	579.0	""	7	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A57210470%2D57211186
chr12	112254043	112254189	chr12_112254043_112254189_-	-	3'AS	chr12_112252528_112254043_-	chr12_112254189_112256320_-	112252528	112256320	27	13.01	11.64	643.0	""	75	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A112252518%2D112256330
chr1	116064436	116064512	chr1_116064436_116064512_+	+	5'AS	chr1_116062882_116064436_+	chr1_116064512_116066520_+	116062882	116066520	4	12.3	10.18	468.0	""	22	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A116062872%2D116066530
chr6	46165383	46165563	chr6_46165383_46165563_-	-	5'AS	chr6_46161753_46165383_-	chr6_46165563_46167434_-	46161753	46167434	4	158.12	10.0	485.0	""	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A46161743%2D46167444
chr11	62560060	62560193	chr11_62560060_62560193_-	-	5'AS	chr11_62559837_62560060_-	chr11_62560193_62560282_-	62559837	62560282	9	1742.31	23.77	362.05	""	13	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A62559827%2D62560292
chr8	97825058	97825157	chr8_97825058_97825157_+	+	5'AS	chr8_97819238_97825058_+	chr8_97825157_97851397_+	97819238	97851397	4	516.93	6.5	391.2	""	2	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A97819228%2D97851407
chr9	20415436	20415550	chr9_20415436_20415550_-	-	CE	chr9_20414425_20415436_-	chr9_20415550_20448123_-	20414425	20448123	114	9.44	6.0	494.0	""	1	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A20414415%2D20448133
chr1	103013282	103013327	chr1_103013282_103013327_-	-	CE	chr1_103012469_103013282_-	chr1_103013327_103014511_-	103012469	103014511	45	13.73	7.67	550.0	""	3	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A103012459%2D103014521
chr4	151179355	151179416	chr4_151179355_151179416_-	-	3'AS	chr4_151176955_151179355_-	chr4_151179416_151187423_-	151176955	151187423	19	19.53	16.5	419.0	""	10	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A151176945%2D151187433
chr17	59070823	59070968	chr17_59070823_59070968_-	-	3'AS	chr17_59064405_59070823_-	chr17_59070968_59075647_-	59064405	59075647	21	17.66	19.08	463.94	""	12	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A59064395%2D59075657
chr18	31908754	31909013	chr18_31908754_31909013_-	-	3'AS	chr18_31908418_31908754_-	chr18_31909013_31909667_-	31908418	31909667	3	11.74	12.78	409.0	""	46	https://www.genome-euro.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr18%3A31908408%2D31909677
